student_id,name,course,learning_style,communication,personality,gpa,combination,performance_level
S0076,bilal malik,deep learning,reading/writing,weak,introvert,2.94,deep learning - reading/writing - introvert - weak,Below Average
S0077,hamza malik,machine learning,kinesthetic,weak,ambivert,2.59,machine learning - kinesthetic - ambivert - weak,Below Average
S0078,ayesha qureshi,cyber security,visual,strong,ambivert,3.53,cyber security - visual - ambivert - strong,High
S0079,sana qureshi,computer networks,visual,weak,introvert,3.43,computer networks - visual - introvert - weak,Above Average
S0080,fatima qureshi,cloud computing,visual,strong,extrovert,3.42,cloud computing - visual - extrovert - strong,Above Average
S0081,muneeb sheikh,cyber security,kinesthetic,weak,introvert,2.02,cyber security - kinesthetic - introvert - weak,Low
S0082,ayesha sheikh,data science,reading/writing,strong,ambivert,2.04,data science - reading/writing - ambivert - strong,Low
S0083,ahmad chaudhry,information technology,kinesthetic,weak,extrovert,2.21,information technology - kinesthetic - extrovert - weak,Low
S0084,ali khan,data science,visual,average,introvert,3.14,data science - visual - introvert - average,Above Average
S0085,hassan rana,cloud computing,kinesthetic,strong,introvert,2.96,cloud computing - kinesthetic - introvert - strong,Below Average
S0086,muneeb qureshi,machine learning,reading/writing,strong,introvert,3.28,machine learning - reading/writing - introvert - strong,Above Average
S0087,usman ashraf,artificial intelligence,kinesthetic,weak,introvert,2.04,artificial intelligence - kinesthetic - introvert - weak,Low
S0088,sana chaudhry,cyber security,visual,average,ambivert,2.29,cyber security - visual - ambivert - average,Low
S0089,ahmad sheikh,deep learning,kinesthetic,average,introvert,3.33,deep learning - kinesthetic - introvert - average,Above Average
S0090,hamza rana,computer networks,reading/writing,weak,extrovert,3.35,computer networks - reading/writing - extrovert - weak,Above Average
S0091,hassan qureshi,deep learning,auditory,weak,introvert,3.93,deep learning - auditory - introvert - weak,High
S0092,ali malik,information technology,auditory,strong,ambivert,3.15,information technology - auditory - ambivert - strong,Above Average
S0093,hiba butt,computer networks,visual,strong,introvert,3.26,computer networks - visual - introvert - strong,Above Average
S0094,ayesha malik,machine learning,auditory,weak,introvert,3.06,machine learning - auditory - introvert - weak,Above Average
S0095,ahmad sheikh,artificial intelligence,auditory,strong,extrovert,2.96,artificial intelligence - auditory - extrovert - strong,Below Average
S0096,hiba ashraf,artificial intelligence,kinesthetic,average,extrovert,3.43,artificial intelligence - kinesthetic - extrovert - average,Above Average
S0097,zara sheikh,cloud computing,kinesthetic,weak,ambivert,2.39,cloud computing - kinesthetic - ambivert - weak,Low
S0098,fatima khan,information technology,visual,weak,introvert,3.11,information technology - visual - introvert - weak,Above Average
S0099,maryam sheikh,cloud computing,reading/writing,weak,extrovert,3.41,cloud computing - reading/writing - extrovert - weak,Above Average
S0100,usman rana,information technology,reading/writing,strong,extrovert,2.72,information technology - reading/writing - extrovert - strong,Below Average
S0101,hiba chaudhry,information technology,kinesthetic,average,extrovert,3.65,information technology - kinesthetic - extrovert - average,High
S0102,bilal qureshi,software engineering,visual,weak,ambivert,2.58,software engineering - visual - ambivert - weak,Below Average
S0103,zara chaudhry,cloud computing,visual,weak,ambivert,2.82,cloud computing - visual - ambivert - weak,Below Average
S0104,muneeb butt,cloud computing,visual,average,introvert,2.88,cloud computing - visual - introvert - average,Below Average
S0105,ayesha sheikh,cyber security,reading/writing,strong,extrovert,2.07,cyber security - reading/writing - extrovert - strong,Low
S0106,zara rana,deep learning,auditory,weak,introvert,2.58,deep learning - auditory - introvert - weak,Below Average
S0107,zara siddiqui,artificial intelligence,kinesthetic,strong,ambivert,2.06,artificial intelligence - kinesthetic - ambivert - strong,Low
S0108,hiba iftikhar,data science,reading/writing,strong,extrovert,3.42,data science - reading/writing - extrovert - strong,Above Average
S0109,zara siddiqui,information technology,reading/writing,strong,extrovert,2.59,information technology - reading/writing - extrovert - strong,Below Average
S0110,sana qureshi,cloud computing,reading/writing,average,extrovert,2.07,cloud computing - reading/writing - extrovert - average,Low
S0111,fatima rana,machine learning,visual,strong,ambivert,2.7,machine learning - visual - ambivert - strong,Below Average
S0112,jawad malik,information technology,auditory,average,ambivert,2.87,information technology - auditory - ambivert - average,Below Average
S0113,maryam siddiqui,information technology,kinesthetic,average,introvert,3.71,information technology - kinesthetic - introvert - average,High
S0114,usman butt,deep learning,reading/writing,strong,ambivert,2.74,deep learning - reading/writing - ambivert - strong,Below Average
S0115,jawad malik,deep learning,kinesthetic,weak,ambivert,3.75,deep learning - kinesthetic - ambivert - weak,High
S0116,hiba qureshi,cyber security,reading/writing,strong,introvert,3.01,cyber security - reading/writing - introvert - strong,Above Average
S0117,fatima sheikh,data science,reading/writing,average,ambivert,2.85,data science - reading/writing - ambivert - average,Below Average
S0118,ayesha rana,computer networks,kinesthetic,weak,introvert,3.47,computer networks - kinesthetic - introvert - weak,Above Average
S0119,sana chaudhry,artificial intelligence,reading/writing,weak,extrovert,2.03,artificial intelligence - reading/writing - extrovert - weak,Low
S0120,maryam ashraf,cyber security,reading/writing,weak,extrovert,2.24,cyber security - reading/writing - extrovert - weak,Low
S0121,maryam qureshi,software engineering,auditory,strong,introvert,3.21,software engineering - auditory - introvert - strong,Above Average
S0122,fatima chaudhry,machine learning,auditory,average,extrovert,2.26,machine learning - auditory - extrovert - average,Low
S0123,fatima iftikhar,cloud computing,auditory,strong,ambivert,2.82,cloud computing - auditory - ambivert - strong,Below Average
S0124,maryam malik,data science,kinesthetic,weak,extrovert,3.1,data science - kinesthetic - extrovert - weak,Above Average
S0125,maryam qureshi,cloud computing,reading/writing,weak,introvert,3.57,cloud computing - reading/writing - introvert - weak,High
S0126,zara siddiqui,information technology,visual,strong,introvert,2.55,information technology - visual - introvert - strong,Below Average
S0127,muneeb siddiqui,software engineering,auditory,strong,extrovert,2.58,software engineering - auditory - extrovert - strong,Below Average
S0128,hiba khan,cloud computing,reading/writing,weak,extrovert,2.51,cloud computing - reading/writing - extrovert - weak,Below Average
S0129,ahmad rana,deep learning,kinesthetic,strong,introvert,2.34,deep learning - kinesthetic - introvert - strong,Low
S0130,bilal malik,data science,auditory,strong,introvert,2.51,data science - auditory - introvert - strong,Below Average
S0131,sana khan,software engineering,kinesthetic,average,extrovert,2.0,software engineering - kinesthetic - extrovert - average,Low
S0132,bilal butt,deep learning,kinesthetic,average,introvert,2.45,deep learning - kinesthetic - introvert - average,Low
S0133,zara khan,software engineering,auditory,weak,introvert,2.0,software engineering - auditory - introvert - weak,Low
S0134,maryam butt,cloud computing,reading/writing,strong,extrovert,3.51,cloud computing - reading/writing - extrovert - strong,High
S0135,sana iftikhar,deep learning,reading/writing,average,ambivert,2.85,deep learning - reading/writing - ambivert - average,Below Average
S0136,muneeb rana,artificial intelligence,visual,average,extrovert,3.38,artificial intelligence - visual - extrovert - average,Above Average
S0137,maryam butt,cloud computing,auditory,average,extrovert,2.83,cloud computing - auditory - extrovert - average,Below Average
S0138,hiba chaudhry,information technology,kinesthetic,average,ambivert,3.08,information technology - kinesthetic - ambivert - average,Above Average
S0139,ahmad sheikh,data science,kinesthetic,average,extrovert,3.1,data science - kinesthetic - extrovert - average,Above Average
S0140,zara malik,cyber security,auditory,average,introvert,2.39,cyber security - auditory - introvert - average,Low
S0141,jawad iftikhar,data science,reading/writing,strong,introvert,3.29,data science - reading/writing - introvert - strong,Above Average
S0142,ayesha iftikhar,cloud computing,auditory,weak,extrovert,3.91,cloud computing - auditory - extrovert - weak,High
S0143,hassan rana,artificial intelligence,reading/writing,average,introvert,2.36,artificial intelligence - reading/writing - introvert - average,Low
S0144,usman siddiqui,information technology,visual,average,introvert,3.45,information technology - visual - introvert - average,Above Average
S0145,sana chaudhry,deep learning,visual,strong,introvert,3.54,deep learning - visual - introvert - strong,High
S0146,muneeb malik,cloud computing,kinesthetic,weak,introvert,3.68,cloud computing - kinesthetic - introvert - weak,High
S0147,sana malik,software engineering,auditory,average,extrovert,3.08,software engineering - auditory - extrovert - average,Above Average
S0148,jawad butt,artificial intelligence,kinesthetic,weak,extrovert,3.09,artificial intelligence - kinesthetic - extrovert - weak,Above Average
S0149,ayesha iftikhar,cyber security,kinesthetic,strong,extrovert,2.01,cyber security - kinesthetic - extrovert - strong,Low
S0150,hiba ashraf,machine learning,auditory,strong,ambivert,3.25,machine learning - auditory - ambivert - strong,Above Average
S0151,maryam khan,machine learning,kinesthetic,weak,introvert,3.06,machine learning - kinesthetic - introvert - weak,Above Average
S0152,jawad ashraf,cyber security,kinesthetic,strong,introvert,3.82,cyber security - kinesthetic - introvert - strong,High
S0153,fatima malik,deep learning,reading/writing,average,introvert,2.98,deep learning - reading/writing - introvert - average,Below Average
S0154,muneeb chaudhry,cyber security,reading/writing,average,introvert,2.46,cyber security - reading/writing - introvert - average,Low
S0155,zara siddiqui,artificial intelligence,reading/writing,weak,extrovert,3.56,artificial intelligence - reading/writing - extrovert - weak,High
S0156,ayesha malik,machine learning,reading/writing,average,extrovert,2.25,machine learning - reading/writing - extrovert - average,Low
S0157,hamza rana,artificial intelligence,auditory,strong,extrovert,3.95,artificial intelligence - auditory - extrovert - strong,High
S0158,ali rana,data science,visual,weak,extrovert,3.88,data science - visual - extrovert - weak,High
S0159,hiba siddiqui,cloud computing,auditory,weak,ambivert,2.05,cloud computing - auditory - ambivert - weak,Low
S0160,usman sheikh,cyber security,visual,weak,extrovert,3.96,cyber security - visual - extrovert - weak,High
S0161,sana siddiqui,computer networks,auditory,average,introvert,2.84,computer networks - auditory - introvert - average,Below Average
S0162,muneeb ashraf,artificial intelligence,auditory,average,ambivert,2.98,artificial intelligence - auditory - ambivert - average,Below Average
S0163,ayesha chaudhry,artificial intelligence,reading/writing,weak,introvert,2.09,artificial intelligence - reading/writing - introvert - weak,Low
S0164,fatima khan,data science,kinesthetic,weak,extrovert,2.51,data science - kinesthetic - extrovert - weak,Below Average
S0165,hamza qureshi,artificial intelligence,reading/writing,strong,introvert,3.56,artificial intelligence - reading/writing - introvert - strong,High
S0166,hassan butt,deep learning,reading/writing,average,ambivert,3.84,deep learning - reading/writing - ambivert - average,High
S0167,hassan chaudhry,computer networks,auditory,strong,ambivert,3.46,computer networks - auditory - ambivert - strong,Above Average
S0168,hamza iftikhar,data science,kinesthetic,weak,ambivert,2.06,data science - kinesthetic - ambivert - weak,Low
S0169,ahmad sheikh,deep learning,reading/writing,weak,extrovert,2.86,deep learning - reading/writing - extrovert - weak,Below Average
S0170,fatima malik,deep learning,visual,weak,ambivert,3.72,deep learning - visual - ambivert - weak,High
S0171,maryam rana,computer networks,kinesthetic,strong,extrovert,2.95,computer networks - kinesthetic - extrovert - strong,Below Average
S0172,jawad khan,computer networks,auditory,strong,introvert,2.53,computer networks - auditory - introvert - strong,Below Average
S0173,hassan ashraf,cyber security,visual,average,ambivert,3.88,cyber security - visual - ambivert - average,High
S0174,hamza malik,data science,visual,weak,ambivert,2.43,data science - visual - ambivert - weak,Low
S0175,jawad qureshi,machine learning,kinesthetic,strong,introvert,2.99,machine learning - kinesthetic - introvert - strong,Below Average
S0176,maryam rana,machine learning,visual,weak,introvert,3.7,machine learning - visual - introvert - weak,High
S0177,fatima siddiqui,artificial intelligence,kinesthetic,strong,introvert,2.31,artificial intelligence - kinesthetic - introvert - strong,Low
S0178,ali butt,data science,visual,average,ambivert,3.4,data science - visual - ambivert - average,Above Average
S0179,fatima sheikh,deep learning,reading/writing,strong,introvert,3.88,deep learning - reading/writing - introvert - strong,High
S0180,bilal malik,information technology,kinesthetic,strong,extrovert,3.49,information technology - kinesthetic - extrovert - strong,Above Average
S0181,hamza malik,deep learning,kinesthetic,strong,extrovert,2.37,deep learning - kinesthetic - extrovert - strong,Low
S0182,maryam khan,cloud computing,kinesthetic,strong,extrovert,2.35,cloud computing - kinesthetic - extrovert - strong,Low
S0183,ayesha butt,cloud computing,auditory,weak,extrovert,3.89,cloud computing - auditory - extrovert - weak,High
S0184,maryam siddiqui,deep learning,visual,weak,extrovert,2.01,deep learning - visual - extrovert - weak,Low
S0185,fatima khan,information technology,reading/writing,weak,introvert,2.8,information technology - reading/writing - introvert - weak,Below Average
S0186,ali siddiqui,deep learning,reading/writing,average,extrovert,3.71,deep learning - reading/writing - extrovert - average,High
S0187,sana iftikhar,data science,visual,average,extrovert,2.25,data science - visual - extrovert - average,Low
S0188,usman sheikh,cloud computing,reading/writing,average,ambivert,3.69,cloud computing - reading/writing - ambivert - average,High
S0189,hamza iftikhar,cloud computing,reading/writing,average,extrovert,3.26,cloud computing - reading/writing - extrovert - average,Above Average
S0190,sana rana,deep learning,auditory,strong,ambivert,3.19,deep learning - auditory - ambivert - strong,Above Average
S0191,usman khan,machine learning,kinesthetic,strong,extrovert,3.37,machine learning - kinesthetic - extrovert - strong,Above Average
S0192,ahmad siddiqui,deep learning,auditory,strong,introvert,3.64,deep learning - auditory - introvert - strong,High
S0193,ayesha khan,cloud computing,kinesthetic,strong,ambivert,3.72,cloud computing - kinesthetic - ambivert - strong,High
S0194,ahmad qureshi,machine learning,kinesthetic,weak,extrovert,2.6,machine learning - kinesthetic - extrovert - weak,Below Average
S0195,jawad rana,cloud computing,auditory,average,ambivert,3.19,cloud computing - auditory - ambivert - average,Above Average
S0196,zara chaudhry,information technology,auditory,strong,extrovert,3.58,information technology - auditory - extrovert - strong,High
S0197,sana ashraf,data science,visual,strong,introvert,3.41,data science - visual - introvert - strong,Above Average
S0198,usman malik,deep learning,auditory,strong,introvert,3.63,deep learning - auditory - introvert - strong,High
S0199,fatima sheikh,computer networks,auditory,weak,ambivert,2.73,computer networks - auditory - ambivert - weak,Below Average
S0200,zara iftikhar,computer networks,reading/writing,weak,introvert,3.91,computer networks - reading/writing - introvert - weak,High
S0201,fatima khan,cyber security,reading/writing,average,ambivert,2.78,cyber security - reading/writing - ambivert - average,Below Average
S0202,usman qureshi,information technology,kinesthetic,weak,extrovert,3.61,information technology - kinesthetic - extrovert - weak,High
S0203,maryam khan,machine learning,visual,weak,ambivert,3.59,machine learning - visual - ambivert - weak,High
S0204,usman malik,deep learning,kinesthetic,average,extrovert,2.18,deep learning - kinesthetic - extrovert - average,Low
S0205,bilal butt,machine learning,visual,strong,extrovert,2.41,machine learning - visual - extrovert - strong,Low
S0206,sana chaudhry,artificial intelligence,auditory,weak,introvert,2.55,artificial intelligence - auditory - introvert - weak,Below Average
S0207,ayesha chaudhry,artificial intelligence,auditory,strong,introvert,2.88,artificial intelligence - auditory - introvert - strong,Below Average
S0208,ali rana,machine learning,visual,weak,ambivert,3.7,machine learning - visual - ambivert - weak,High
S0209,ali butt,machine learning,reading/writing,weak,ambivert,3.19,machine learning - reading/writing - ambivert - weak,Above Average
S0210,sana iftikhar,machine learning,auditory,average,ambivert,2.26,machine learning - auditory - ambivert - average,Low
S0211,muneeb qureshi,cloud computing,auditory,strong,extrovert,2.74,cloud computing - auditory - extrovert - strong,Below Average
S0212,bilal chaudhry,software engineering,auditory,average,ambivert,2.74,software engineering - auditory - ambivert - average,Below Average
S0213,hiba sheikh,information technology,kinesthetic,average,extrovert,2.3,information technology - kinesthetic - extrovert - average,Low
S0214,maryam siddiqui,deep learning,kinesthetic,weak,extrovert,2.65,deep learning - kinesthetic - extrovert - weak,Below Average
S0215,fatima chaudhry,artificial intelligence,reading/writing,weak,extrovert,2.48,artificial intelligence - reading/writing - extrovert - weak,Low
S0216,ali malik,cyber security,reading/writing,average,introvert,2.97,cyber security - reading/writing - introvert - average,Below Average
S0217,hiba qureshi,computer networks,visual,weak,extrovert,3.23,computer networks - visual - extrovert - weak,Above Average
S0218,ahmad ashraf,software engineering,kinesthetic,strong,extrovert,3.47,software engineering - kinesthetic - extrovert - strong,Above Average
S0219,sana malik,cyber security,auditory,average,extrovert,2.14,cyber security - auditory - extrovert - average,Low
S0220,jawad qureshi,data science,auditory,strong,ambivert,2.76,data science - auditory - ambivert - strong,Below Average
S0221,maryam butt,computer networks,reading/writing,weak,ambivert,3.69,computer networks - reading/writing - ambivert - weak,High
S0222,usman sheikh,information technology,reading/writing,weak,extrovert,2.37,information technology - reading/writing - extrovert - weak,Low
S0223,jawad malik,artificial intelligence,visual,weak,ambivert,3.66,artificial intelligence - visual - ambivert - weak,High
S0224,muneeb butt,artificial intelligence,kinesthetic,average,introvert,2.16,artificial intelligence - kinesthetic - introvert - average,Low
S0225,usman iftikhar,data science,reading/writing,weak,introvert,2.5,data science - reading/writing - introvert - weak,Low
S0226,bilal sheikh,machine learning,auditory,weak,introvert,3.33,machine learning - auditory - introvert - weak,Above Average
S0227,ayesha malik,information technology,auditory,strong,introvert,2.81,information technology - auditory - introvert - strong,Below Average
S0228,hamza qureshi,computer networks,kinesthetic,average,ambivert,2.64,computer networks - kinesthetic - ambivert - average,Below Average
S0229,hassan chaudhry,deep learning,auditory,strong,introvert,2.0,deep learning - auditory - introvert - strong,Low
S0230,muneeb qureshi,cloud computing,reading/writing,weak,ambivert,2.09,cloud computing - reading/writing - ambivert - weak,Low
S0231,sana iftikhar,machine learning,visual,strong,introvert,3.31,machine learning - visual - introvert - strong,Above Average
S0232,ali rana,cyber security,kinesthetic,average,introvert,3.05,cyber security - kinesthetic - introvert - average,Above Average
S0233,sana siddiqui,artificial intelligence,visual,average,introvert,3.14,artificial intelligence - visual - introvert - average,Above Average
S0234,hiba ashraf,deep learning,kinesthetic,strong,introvert,2.51,deep learning - kinesthetic - introvert - strong,Below Average
S0235,usman siddiqui,information technology,kinesthetic,weak,extrovert,2.46,information technology - kinesthetic - extrovert - weak,Low
S0236,ahmad siddiqui,software engineering,visual,average,introvert,3.71,software engineering - visual - introvert - average,High
S0237,ayesha chaudhry,software engineering,visual,weak,extrovert,3.03,software engineering - visual - extrovert - weak,Above Average
S0238,usman khan,deep learning,kinesthetic,weak,introvert,3.87,deep learning - kinesthetic - introvert - weak,High
S0239,bilal sheikh,machine learning,visual,average,introvert,3.29,machine learning - visual - introvert - average,Above Average
S0240,zara ashraf,software engineering,auditory,strong,ambivert,3.48,software engineering - auditory - ambivert - strong,Above Average
S0241,bilal malik,software engineering,auditory,strong,introvert,3.76,software engineering - auditory - introvert - strong,High
S0242,hamza ashraf,computer networks,reading/writing,strong,introvert,2.92,computer networks - reading/writing - introvert - strong,Below Average
S0243,ali qureshi,data science,reading/writing,weak,ambivert,3.21,data science - reading/writing - ambivert - weak,Above Average
S0244,ahmad khan,machine learning,kinesthetic,strong,extrovert,2.54,machine learning - kinesthetic - extrovert - strong,Below Average
S0245,sana qureshi,information technology,auditory,average,ambivert,3.9,information technology - auditory - ambivert - average,High
S0246,fatima ashraf,software engineering,reading/writing,strong,introvert,3.29,software engineering - reading/writing - introvert - strong,Above Average
S0247,usman iftikhar,software engineering,auditory,strong,introvert,2.95,software engineering - auditory - introvert - strong,Below Average
S0248,hiba siddiqui,cyber security,reading/writing,strong,extrovert,2.9,cyber security - reading/writing - extrovert - strong,Below Average
S0249,ahmad sheikh,cyber security,reading/writing,average,ambivert,2.85,cyber security - reading/writing - ambivert - average,Below Average
S0250,jawad rana,machine learning,reading/writing,strong,introvert,2.95,machine learning - reading/writing - introvert - strong,Below Average
S0251,ali ashraf,deep learning,visual,weak,extrovert,3.78,deep learning - visual - extrovert - weak,High
S0252,jawad chaudhry,cloud computing,visual,average,extrovert,3.06,cloud computing - visual - extrovert - average,Above Average
S0253,bilal siddiqui,artificial intelligence,kinesthetic,strong,extrovert,3.37,artificial intelligence - kinesthetic - extrovert - strong,Above Average
S0254,hiba ashraf,computer networks,visual,weak,ambivert,3.68,computer networks - visual - ambivert - weak,High
S0255,bilal qureshi,deep learning,auditory,average,introvert,3.44,deep learning - auditory - introvert - average,Above Average
S0256,fatima siddiqui,machine learning,visual,strong,ambivert,2.35,machine learning - visual - ambivert - strong,Low
